trial_number,lrate,wdecay,optimizer,clip,llm_layer,U,batch_size,loss
55,0.005505594762810319,1.4228166655647363e-06,Ranger,0.10063423519203152,4,1,128,26.66919708251953
56,1.913410614288068e-05,1.8735080775711745e-05,AdamW,8.302019163372483,4,3,128,23.75737953186035
57,1.743856436592974e-05,1.689887480951452e-05,AdamW,6.930672342807712,4,3,64,23.09994125366211
58,4.447289233302801e-05,1.890525693840196e-05,AdamW,6.6826170975487305,1,3,64,43.220428466796875
59,0.00010268914294392912,3.7070611599063924e-05,AdamW,6.9666335363059195,2,3,64,32.784854888916016
60,1.7258321649896343e-05,2.2712177152189902e-05,AdamW,8.34934683323424,3,3,64,25.396806716918945
61,1.3506184787755556e-05,1.609397814907215e-05,AdamW,7.282773921963962,4,3,64,25.990015029907227
62,1.8663271427651118e-05,5.1811741876436506e-05,AdamW,5.344740303042502,4,3,64,25.317581176757812
63,2.9371713345636345e-05,3.0354407692390384e-05,AdamW,8.07033499936222,4,3,128,24.801156997680664
64,1.997544598163787e-05,1.4078591824800782e-05,AdamW,8.531945508355637,4,3,64,26.200239181518555
65,3.7691471041990524e-05,9.259250593961718e-06,AdamW,6.092026020212289,4,3,32,24.6621150970459
66,1.3096534438866903e-05,2.2860230213160107e-05,AdamW,5.70318220486596,4,4,64,24.81643295288086
67,1.0065933466708044e-05,4.0914621964759075e-05,Adam,7.608066279233505,4,3,128,24.41806983947754
68,1.5472660279132016e-05,4.310928668565555e-05,Adam,7.586668668044986,4,3,128,23.95534896850586
69,2.84619092912294e-05,8.217419799135225e-05,Adam,6.762998189400161,4,3,64,26.189990997314453
70,5.896862855434624e-05,0.0001405782778390408,Adam,7.149562311019384,4,3,128,25.673425674438477
71,1.594946800681624e-05,4.800578898760793e-05,Adam,7.568073011688372,4,3,128,27.278108596801758
72,1.0096019142471599e-05,3.604276679361204e-05,Adam,7.785481844842306,4,3,128,25.968944549560547
73,2.0538327877989843e-05,3.353135963557081e-05,Adam,6.491075117778934,4,3,128,24.4915828704834
74,1.5437552287625184e-05,6.151643791927575e-05,Adam,7.429225715788775,4,3,128,23.84825325012207
75,1.5761167485778143e-05,9.95847575659108e-05,Adam,6.9231031915682095,4,4,128,23.94320297241211
76,1.5176922280749557e-05,0.0003459211693597639,Adam,8.207119487971287,4,4,128,26.25068473815918
77,3.10041196321332e-05,8.81201896208294e-05,Adam,6.959804838120593,4,4,128,23.8006649017334
78,4.011551657658164e-05,0.00017998094211526682,Adam,6.93292964856646,4,4,128,24.56148910522461
79,0.0003695374675651654,8.831727335410784e-05,Adam,7.347809912698825,4,4,128,26.11635971069336
80,2.9772456058949535e-05,5.770737227233964e-05,Adam,7.934478523087934,4,4,128,24.430591583251953
81,1.7678005068297872e-05,0.00011477823090604952,Adam,7.203515022355273,4,4,128,25.512134552001953
82,2.403993779487723e-05,6.754126083809106e-05,Adam,6.5251614099567705,4,4,128,25.2001895904541
83,1.2560898911695974e-05,9.512585442980369e-05,Adam,7.5468578066891885,4,4,128,24.676326751708984
84,1.5554591326441277e-05,1.6533533950452598e-05,Adam,6.249822050487577,4,4,128,25.07846450805664
85,3.273076525492962e-05,0.00024248901284536987,Adam,6.947678971805107,4,3,128,25.207658767700195
86,1.2289445540746797e-05,2.5547572791432823e-05,Adam,8.652573813642665,4,3,32,24.267850875854492
87,2.264505738253379e-05,6.866104684052548e-05,Adam,8.340675081082848,4,4,128,24.882125854492188
88,4.692448743918693e-05,0.00016362658064817374,Adam,7.856893884621767,3,3,128,28.28567886352539
89,1.7748437342404577e-05,4.4278414774078194e-05,AdamW,5.796776441927403,4,3,128,24.974477767944336
90,2.6986906512417305e-05,1.2773705846391289e-05,Adam,6.732403208729535,4,3,128,23.650604248046875
91,2.1960081560667985e-05,1.2626725896297453e-05,Adam,6.667786145491135,4,3,128,24.85932159423828
92,2.699152443950626e-05,1.7854504373698608e-05,Adam,7.378179274510021,4,3,128,23.686969757080078
93,2.6755453231475527e-05,7.003303578833983e-06,Adam,7.414137135538404,4,3,128,24.103193283081055
94,3.3037354779427674e-05,1.9437187166884683e-05,Adam,7.103535296540472,4,3,128,26.338979721069336
95,6.992045912895922e-05,1.0587931327438903e-05,Adam,6.34875443413566,4,3,128,25.054786682128906
96,9.062064881539668e-05,2.423763630262721e-05,Adam,6.837089268414431,4,3,128,24.031152725219727
97,0.00014397177567379495,0.00010488394669936299,Adam,8.139092574685385,2,3,128,29.041772842407227
98,5.28421356284334e-05,5.4152310172074825e-05,Adam,7.703792041966308,4,3,128,23.044687271118164
99,3.846934496296131e-05,0.0038001315790280937,AdamW,7.200584077964179,4,3,32,25.457921981811523
